Date	Patients	Interventions	Mean daily temperature	Min. daily temperature	Max. daily temperature
02/05/2012	181	10	12.3	10.8	14.7
03/05/2012	165	5	12.9	11	17.1
04/05/2012	165	10	12.6	10.4	15.6
05/05/2012	135	-9999	12.9	10.8	15.7
06/05/2012	147	-9999	13.8	10.2	18.5
07/05/2012	189	10	15.1	12.4	18
08/05/2012	175	16	16.1	15.4	17.5
09/05/2012	151	-9999	18.8	15.4	24.5
10/05/2012	172	12	18.9	14.9	22.8
11/05/2012	194	14	20.5	16.5	24.9
12/05/2012	142	-9999	21.8	17.1	27.9
13/05/2012	153	-9999	19.3	15.4	24.3
14/05/2012	203	9	17.4	13.4	22.3
15/05/2012	176	12	18.4	9	26.8
16/05/2012	185	8	22.8	15	31.8
17/05/2012	154	-9999	15.6	13.4	18.5
18/05/2012	199	11	14.2	12.3	16.7
19/05/2012	117	-9999	12.8	9.6	16.3
20/05/2012	118	-9999	12.3	9.3	16.1
21/05/2012	175	5	13.1	9	17.2
22/05/2012	178	-9999	15.8	12.4	19.3
23/05/2012	165	9	17.9	11.6	23.8
24/05/2012	159	5	18.2	14.5	23
25/05/2012	181	-9999	15.7	12.8	21.1
26/05/2012	118	-9999	15	12.2	18.5
27/05/2012	148	8	15.2	12.4	18.4
28/05/2012	176	8	15.9	10.9	20.4
29/05/2012	157	11	16.7	11.4	22.1
30/05/2012	138	8	18.2	13.5	22.3
31/05/2012	231	-9999	24	17.3	29.9
01/06/2012	173	10	22.4	17.1	30.3
02/06/2012	133	-9999	17	15.8	19.2
03/06/2012	135	-9999	17.4	14	20.7
04/06/2012	185	12	18.3	13.3	22.2
05/06/2012	147	-9999	18.1	16.4	19.9
06/06/2012	156	6	18.4	15.3	22
07/06/2012	179	-9999	16.8	14.5	19.7
08/06/2012	174	-9999	16.2	13.1	19.2
09/06/2012	133	-9999	15.9	12.7	18
10/06/2012	114	-9999	16.4	14.9	17.6
11/06/2012	169	8	16.1	14.5	18.3
12/06/2012	164	-9999	16.3	13	19.3
13/06/2012	136	-9999	15.2	9.4	19.5
14/06/2012	163	-9999	16.5	14.3	19.4
15/06/2012	187	-9999	17.7	14.7	21.1
16/06/2012	132	-9999	17.5	13.3	20
17/06/2012	127	-9999	15.6	12.1	19.6
18/06/2012	151	15	16.3	10.1	21.3
19/06/2012	184	13	17	11.3	22
20/06/2012	176	10	16	13.8	18.8
21/06/2012	160	-9999	16.8	12.7	19.6
22/06/2012	166	10	16.4	10.9	20.4
23/06/2012	119	-9999	17.1	11.9	21.9
24/06/2012	128	-9999	18.5	12.8	22.9
25/06/2012	203	7	23.1	15.9	29.3
26/06/2012	182	-9999	27.6	21.4	35.5
27/06/2012	186	-9999	21.5	17.6	26.5
28/06/2012	177	-9999	18.7	15.4	22.4
29/06/2012	167	-9999	18.1	15.4	21.6
30/06/2012	167	-9999	17	14.5	19.8
01/07/2012	127	-9999	16.1	10.2	19.8
02/07/2012	167	-9999	17.7	12.9	22
03/07/2012	184	-9999	18.5	14.9	21.6
04/07/2012	192	-9999	17.4	16	19.8
05/07/2012	174	-9999	16.3	14.8	18.7
06/07/2012	156	-9999	17.5	14.7	20.8
07/07/2012	148	-9999	17.5	15	20
08/07/2012	144	-9999	18	14.7	21.7
09/07/2012	185	-9999	18.7	15.9	21.4
10/07/2012	182	-9999	17.9	13	22.1
11/07/2012	170	-9999	17.7	13.1	22.8
12/07/2012	158	-9999	16.3	11.3	19.9
13/07/2012	188	-9999	17	14.4	18.9
14/07/2012	139	-9999	16.9	13.5	20.4
15/07/2012	131	-9999	18.5	12.2	24.7
